participant_id,group,pre_test_score,post_test_score,sus_score,nasa_tlx_score,time_taken_min
P000,Control,0.35,0.47,61,65,19.3
P001,Control,0.25,0.48,65,75,30.3
P002,Control,0.42,0.48,50,70,27.6
P003,Control,0.16,0.41,98,70,30.7
P004,Control,0.55,0.85,66,61,28.8
P005,Control,0.11,0.23,57,60,25.4
P006,Control,0.51,0.94,41,71,16.9
P007,Control,0.18,0.33,70,65,19.6
P008,Control,0.2,0.33,66,57,26.1
P009,Control,0.38,0.58,53,86,28.2
P010,Control,0.54,0.54,61,58,29.3
P011,Control,0.08,0.21,58,70,29.3
P012,Control,0.36,0.44,56,60,21.7
P013,Control,0.27,0.65,64,52,29.6
P014,Control,0.13,0.55,70,49,22.6
P015,Control,0.35,0.68,52,69,28.9
P016,Control,0.13,0.24,59,32,19.9
P017,Control,0.33,0.5,47,81,17.8
P018,Control,0.17,0.32,61,79,17.8
P019,Control,0.21,0.52,60,55,27.3
P020,Control,0.26,0.48,53,65,23.1
P021,Control,0.39,0.6,66,80,18.8
P022,Control,0.15,0.57,40,63,27.9
P023,Control,0.31,0.53,53,62,22.5
P024,Control,0.2,0.34,68,68,21.5
P025,Control,0.18,0.47,63,73,28.1
P026,Control,0.37,0.48,54,72,28.1
P027,Control,0.2,0.4,61,77,22.0
P028,Control,0.19,0.44,57,62,30.5
P029,Control,0.28,0.57,68,78,25.1
P030,Treatment,0.1,0.57,79,48,17.5
P031,Treatment,0.21,0.62,86,35,26.4
P032,Treatment,0.31,0.61,72,58,21.2
P033,Treatment,0.04,0.51,87,44,14.4
P034,Treatment,0.12,0.53,76,56,17.4
P035,Treatment,0.21,0.53,79,49,15.7
P036,Treatment,0.36,0.68,83,47,16.0
P037,Treatment,0.65,1.0,83,27,12.4
P038,Treatment,0.16,0.49,80,48,23.9
P039,Treatment,0.07,0.56,80,44,14.0
P040,Treatment,0.08,0.47,79,48,14.7
P041,Treatment,0.17,0.63,94,43,19.6
P042,Treatment,0.54,1.0,78,47,18.1
P043,Treatment,0.06,0.47,75,45,20.0
P044,Treatment,0.24,0.78,89,70,14.9
P045,Treatment,0.31,0.8,83,71,14.8
P046,Treatment,0.15,0.47,77,19,15.9
P047,Treatment,0.39,0.71,83,49,25.5
P048,Treatment,0.48,0.98,77,34,20.0
P049,Treatment,0.1,0.36,96,59,16.1
P050,Treatment,0.37,0.59,92,43,23.0
P051,Treatment,0.3,0.54,77,45,18.2
P052,Treatment,0.22,0.58,86,32,17.4
P053,Treatment,0.16,0.58,86,53,13.5
P054,Treatment,0.46,0.71,92,48,15.0
P055,Treatment,0.1,0.65,82,59,18.3
P056,Treatment,0.18,0.79,96,42,21.9
P057,Treatment,0.34,0.81,92,33,20.7
P058,Treatment,0.27,0.78,67,30,9.8
P059,Treatment,0.44,0.82,87,63,18.3
