session_id,step,current_knowledge_est,current_engagement_est,action_taken,reward_received,student_response_nlp
S_Sim_000,1,0.22,0.85,Present_Definition,0.1,N/A
S_Sim_000,2,0.23,0.7,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_000,3,0.25,0.75,Present_Definition,0.1,N/A
S_Sim_000,4,0.26,0.6,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_000,5,0.28,0.65,Present_Definition,0.1,N/A
S_Sim_000,6,0.29,0.5,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_000,7,0.31,0.55,Present_Definition,0.1,N/A
S_Sim_000,8,0.32,0.4,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_000,9,0.34,0.45,Present_Definition,0.1,N/A
S_Sim_000,10,0.39,0.5,Ask_Easy_Question,1.0,[Correct Answer]
S_Sim_001,1,0.22,0.85,Present_Definition,0.1,N/A
S_Sim_001,2,0.23,0.7,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_001,3,0.25,0.75,Present_Definition,0.1,N/A
S_Sim_001,4,0.26,0.6,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_001,5,0.28,0.65,Present_Definition,0.1,N/A
S_Sim_001,6,0.33,0.7,Ask_Easy_Question,1.0,[Correct Answer]
S_Sim_001,7,0.35,0.75,Present_Definition,0.1,N/A
S_Sim_001,8,0.36,0.6,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_001,9,0.38,0.65,Present_Definition,0.1,N/A
S_Sim_001,10,0.39,0.5,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_002,1,0.22,0.85,Present_Definition,0.1,N/A
S_Sim_002,2,0.23,0.7,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_002,3,0.25,0.75,Present_Definition,0.1,N/A
S_Sim_002,4,0.26,0.6,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_002,5,0.28,0.65,Present_Definition,0.1,N/A
S_Sim_002,6,0.29,0.5,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_002,7,0.31,0.55,Present_Definition,0.1,N/A
S_Sim_002,8,0.36,0.6,Ask_Easy_Question,1.0,[Correct Answer]
S_Sim_002,9,0.38,0.65,Present_Definition,0.1,N/A
S_Sim_002,10,0.43,0.7,Ask_Easy_Question,1.0,[Correct Answer]
S_Sim_003,1,0.22,0.85,Present_Definition,0.1,N/A
S_Sim_003,2,0.27,0.9,Ask_Easy_Question,1.0,[Correct Answer]
S_Sim_003,3,0.29,0.95,Present_Definition,0.1,N/A
S_Sim_003,4,0.34,1.0,Ask_Easy_Question,1.0,[Correct Answer]
S_Sim_003,5,0.36,1.05,Present_Definition,0.1,N/A
S_Sim_003,6,0.41,1.1,Ask_Easy_Question,1.0,[Correct Answer]
S_Sim_003,7,0.43,1.15,Present_Definition,0.1,N/A
S_Sim_003,8,0.48,1.2,Ask_Easy_Question,1.0,[Correct Answer]
S_Sim_003,9,0.5,1.25,Present_Definition,0.1,N/A
S_Sim_003,10,0.51,1.1,Ask_Hard_Question,-0.1,[Incorrect]
S_Sim_004,1,0.22,0.85,Present_Definition,0.1,N/A
S_Sim_004,2,0.27,0.9,Ask_Easy_Question,1.0,[Correct Answer]
S_Sim_004,3,0.29,0.95,Present_Definition,0.1,N/A
S_Sim_004,4,0.3,0.8,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_004,5,0.32,0.85,Present_Definition,0.1,N/A
S_Sim_004,6,0.33,0.7,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_004,7,0.35,0.75,Present_Definition,0.1,N/A
S_Sim_004,8,0.36,0.6,Ask_Easy_Question,-0.1,[Incorrect]
S_Sim_004,9,0.38,0.65,Present_Definition,0.1,N/A
S_Sim_004,10,0.39,0.5,Ask_Easy_Question,-0.1,[Incorrect]
